-43-DB  :Shenzhen ViewAt Technology Co.,Ltd. 
-B8-02  :Cisco Systems, Inc
-C4-93  :Cisco Systems, Inc
-19-47  :Cisco SPVTG
-22-CE  :Cisco SPVTG
-29-29  :Cisco Systems, Inc
-E1-A9  :Cisco Systems, Inc
-69-F6  :Cisco Systems, Inc
-8C-60  :Cisco Systems, Inc
-25-5C  :Cisco Systems, Inc
-5A-92  :Cisco Systems, Inc
-C7-22  :Cisco Systems, Inc
-7B-BC  :Cisco Systems, Inc
-90-F2  :Cisco Systems, Inc
-17-3B  :Cisco Systems, Inc
-40-0B  :Cisco Systems, Inc
-60-09  :Cisco Systems, Inc
-60-47  :Cisco Systems, Inc
-06-C1  :Cisco Systems, Inc
-E0-14  :Cisco Systems, Inc
-E0-1E  :Cisco Systems, Inc
-F2-C5  :Cisco Systems, Inc
-C7-60  :Apple, Inc.
-74-02  :Apple, Inc.
-5A-EB  :Apple, Inc.
-F0-76  :Apple, Inc.
-28-5A  :Saffron Solutions Inc
-A1-AB  :Intellisis
-D8-84  :Apple, Inc.
-85-2F  :Apple, Inc.
-6A-BA  :Apple, Inc.
-56-81  :Apple, Inc.
-D1-C3  :Apple, Inc.
-DC-E2  :Apple, Inc.
-65-BD  :Apple, Inc.
-20-66  :Apple, Inc.
-67-78  :Apple, Inc.
-96-7B  :Apple, Inc.
-85-06  :Apple, Inc.
-F0-AB  :Apple, Inc.
-DD-B1  :Apple, Inc.
-F7-E4  :Apple, Inc.
-C0-59  :Apple, Inc.
-D1-A9  :Apple, Inc.
-27-93  :Apple, Inc.
-FD-EC  :Apple, Inc.
-E1-40  :Apple, Inc.
-32-E4  :ASUSTek COMPUTER INC.
-7C-92  :Apple, Inc.
-31-C1  :Apple, Inc.
-37-B7  :Apple, Inc.
-AE-27  :Apple, Inc.
-76-BA  :Apple, Inc.
-B1-53  :Apple, Inc.
-3A-84  :Apple, Inc.
-BE-08  :Apple, Inc.
-E3-14  :Apple, Inc.
-10-FF  :Cisco Systems, Inc
-BD-C8  :Cisco Systems, Inc
-A2-74  :Cisco Systems, Inc
-97-BD  :Cisco Systems, Inc
-6C-9D  :Cisco Systems, Inc
-FE-C5  :Apple, Inc.
-A0-40  :Apple, Inc.
-3B-AF  :Apple, Inc.
-6C-1C  :Apple, Inc.
-15-52  :Apple, Inc.
-48-4C  :Apple, Inc.
-11-24  :Apple, Inc.
-6F-1D  :Apple, Inc.
-5B-35  :Apple, Inc.
-0F-4A  :Apple, Inc.
-10-E4  :Apple, Inc.
-DB-56  :Apple, Inc.
-1F-A1  :Apple, Inc.
-E5-36  :Apple, Inc.
-9A-DD  :Apple, Inc.
-A6-D9  :Apple, Inc.
-F0-5F  :Apple, Inc.
-B1-97  :Apple, Inc.
-74-C2  :Apple, Inc.
-30-04  :Apple, Inc.
-60-BC  :Apple, Inc.
-EA-D6  :Apple, Inc.
-E0-2C  :Apple, Inc.
-C5-47  :Apple, Inc.
-11-BE  :Apple, Inc.
-3E-E1  :Apple, Inc.
-D9-3C  :Apple, Inc.
-F0-EE  :Apple, Inc.
-78-8B  :Apple, Inc.
-94-F8  :Apple, Inc.
-3E-AC  :Apple, Inc.
-1A-DA  :Apple, Inc.
-36-3B  :Apple, Inc.
-1E-E7  :Apple, Inc.
-FC-01  :Apple, Inc.
-0D-93  :Apple, Inc.
-1C-B3  :Apple, Inc.
-B9-E8  :Apple, Inc.
-15-9E  :Apple, Inc.
-B0-35  :Apple, Inc.
-B4-79  :Apple, Inc.
-13-57  :ATP Electronics, Inc.
-4B-2A  :Cisco SPVTG
-8C-F8  :TRENDnet, Inc.
-D6-B2  :Toshiba
-4A-09  :Zhejiang Everbright Communication Equip. Co,. Ltd
-0D-5C  :JinQianMao  Technology Co.,Ltd.
-08-1C  :OVH
-E0-90  :Linctronix Ltd,
-BF-3E  :Charles River Laboratories
-48-EE  :Hangzhou Xueji Technology Co., Ltd.
-94-7E  :Fiberhome Telecommunication Technologies Co.,LTD
-C2-42  :Poynt Co.
-34-3E  :Beijing Infosec Technologies Co., LTD.
-AD-F1  :GOPEACE Inc.
-F4-96  :Source Chain
-B7-09  :Viptela, Inc
-60-DE  :SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
-18-65  :Shanghai DareGlobal Technologies Co.,Ltd
-84-ED  :Private
-DC-07  :TRP Systems BV
-0A-4E  :Planet BingoÂ® â 3rd Rock GamingÂ®
-1A-10  :Acoustic Stream
-A3-87  :Control Solutions LLC
-82-F6  :iPort
-9E-41  :G24 Power Limited
-3E-5C  :HUAWEI TECHNOLOGIES CO.,LTD
-A9-FC  :Goyoo Networks Inc.
-9F-F3  :Mciao Technologies, Inc.
-73-9F  :KYOCERA Corporation
-2B-E1  :Shenzhen Ferex Electrical Co.,Ltd
-FF-F6  :HangZhou KuoHeng Technology Co.,ltd
-53-C0  :Beijing Guang Runtong Technology Development Company co.,Ltd
-31-AD  :ABB Global Industries and Services Private Limited
-A2-43  :Shenzhen Prifox Innovation Technology Co., Ltd.
-A5-39  :Parallel Wireless, Inc
-33-5F  :Polyera
-C2-33  :Private
-C8-7F  :Roqos, Inc.
-25-A2  :NEC Platforms, Ltd.
-53-F2  :ROXTON Ltd.
-BC-32  :Apple, Inc.
-BB-AE  :Husqvarna AB
-89-95  :AzureWave Technology Inc.
-98-B9  :HUAWEI TECHNOLOGIES CO.,LTD
-49-7B  :Gemtek Technology Co., Ltd.
-CF-58  :HUAWEI TECHNOLOGIES CO.,LTD
-FF-82  :Davit Solution co.
-45-E8  :Jiangxi Hongpai Technology Co., Ltd.
-79-73  :Shanghai Baud Data Communication Co.,Ltd.
-6F-18  :Private
-1B-99  :SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.
-12-95  :Lupine Lighting Systems GmbH
-9A-12  :P2 Mobile Technologies Limited
-C2-D1  :HUAWEI TECHNOLOGIES CO.,LTD
-3C-F6  :Atomic Rules LLC
-31-78  :Qolsys Inc.
-57-3E  :Fiberhome Telecommunication Technologies Co.,LTD
-3A-5C  :Junilab, Inc.
-AE-31  :ShengHai Electronics (Shenzhen) Ltd
-D6-57  :ECHOSENS
-69-3E  :innodisk Corporation
-8D-8C  :Routerboard.com
-DC-6A  :Qingdao Eastsoft Communication Technology Co.,LTD
-59-F8  :Vodafone Omnitel B.V.
-2C-B0  :Network Instruments
-AB-54  :MITSUMI ELECTRIC CO.,LTD.
-50-73  :Microsoft Corporation
-A3-1A  :Oilfind International LLC
-FD-93  :Weifang GoerTek Electronics Co., Ltd.
-24-DD  :Cambrionix Ltd
-A2-D7  :HUAWEI TECHNOLOGIES CO.,LTD
-9A-34  :Beijing SHENQI Technology Co., Ltd.
-AD-D1  :Bosung Electronics Co., Ltd.
-E5-AA  :Philips Oral Healthcare, Inc.
-CB-A5  :Suzhou Torchstar Intelligent Technology Co.,Ltd
-61-69  :MEDIA GLOBAL LINKS CO., LTD.
-56-2C  :LAVA INTERNATIONAL(H.K) LIMITED
-CE-15  :Mercedes-Benz USA, LLC
-DF-19  :Chuango Security Technology Corporation
-47-11  :HUAWEI TECHNOLOGIES CO.,LTD
-5B-F0  :Liteon, Inc.
-FE-C2  :Invensys Controls UK Limited
-F2-E2  :LG Innotek
-67-6F  :Electrocompaniet A.S.
-B8-2C  :Cambridge Mobile Telematics, Inc.
-22-4E  :Esan electronic co.
-41-1D  :ITTIM Technologies
-B2-5C  :Acacia Communications
-EB-39  :Instituto Nacional de TecnologÃ­a Industrial
-C9-5A  :EMC
-EE-D8  :ZTLX Network Technology Co.,Ltd
-5B-9C  :SB SYSTEMS Co.,Ltd
-A2-37  :King Slide Technology CO., LTD.
-0E-E3  :Aquantia Corporation
-73-03  :Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
-49-5F  :OMRON HEALTHCARE Co., Ltd.
-6E-64  :Sony Mobile Communications AB
-47-13  :Leading Public Performance Co., Ltd.
-52-2A  :TangoWiFi.com
-EC-E1  :Private
-7F-E0  :Glory Star Technics (ShenZhen) Limited
-5C-4C  :ELECOM CO.,LTD.
-59-40  :SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
-A7-5F  :zte corporation
-C5-0E  :Shenzhen Primestone Network Technologies.Co., Ltd.
-BE-E0  :Biosoundlab Co., Ltd.
-5B-35  :Mist Systems, Inc.
-07-BF  :SHENZHEN BOOMTECH INDUSTRY CO.,LTD
-16-2B  :IDEO Security Co., Ltd.
-9F-2D  :zte corporation
-E2-FD  :SKG Electric Group(Thailand) Co., Ltd.
-E6-03  :Avotek corporation
-E2-8C  :Microsoft Corporation
-F1-9E  :HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD
-92-4C  :KEISOKUKI CENTER CO.,LTD.
-F9-39  :Minxon Hotel Technology INC.
-C7-0A  :WiFiSong
-E6-BC  :Sino-Telecom Technology Co.,Ltd.
-A5-32  :Shenzhen Gongjin Electronics Co.,Ltd
-6E-FB  :Davit System Technology Co., Ltd.
-0A-22  :TOP-ACCESS ELECTRONICS CO LTD
-08-BF  :Vital Connect, Inc.
-54-15  :NET RULES TECNOLOGIA EIRELI
-C7-6F  :INNO S
-4E-66  :SHENZHEN FAST TECHNOLOGIES CO.,LTD
-9B-0D  :Shenzhen Yourf Kwan Industrial Co., Ltd
-08-80  :Shenzhen UTEPO Tech Co., Ltd.
-C0-38  :Tallac Networks
-19-67  :Shanghai Reallytek Information Technology  Co.,Ltd
-36-B5  :DriveScale, Inc.
-F7-F1  :Seeed Technology Inc.
-84-79  :Yaojin Technology(Shenzhen)Co.,Ltd
-48-DA  :Beijing Autelan Technology Co.,Ltd
-17-9B  :Nanomegas
-77-CB  :Maike Industry(Shenzhen)CO.,LTD
-28-F0  :ATN International Limited
-3C-5A  :SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD
-05-51  :Koubachi AG
-84-66  :Extreme Networks
-87-A3  :Loxley Public Company Limited
-FA-CE  :Reacheng Communication Technology Co.,Ltd
-CB-8A  :Micro-Star INTL CO., LTD.
-D0-E3  :Systech Electronics Ltd.
-63-D6  :Microsoft Corporation
-B3-B9  :ShangHai sunup lighting CO.,LTD
-EE-14  :SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
-65-71  :Top Victory Electronics (Taiwan) Co., Ltd.
-BC-41  :Rosslare Enterprises Limited
-86-F3  :Greenvity Communications
-5C-FA  :Yangzhou ChangLian Network Technology Co,ltd.
-18-D9  :Shenzhen RF Technology Co., Ltd
-99-D1  :Vuzix / Lenovo
-F6-D2  :Panasonic Taiwan Co.,Ltd.
-2F-03  :Step forward Group Co., Ltd.
-21-36  :KMB systems, s.r.o.
-AE-FA  :Murata Manufacturing Co., Ltd.
-AA-FD  :Sonos, Inc.
-DF-9D  :NEC Corporation
-E9-03  :D-Link International
-B0-52  :Ruckus Wireless
-28-F6  :Vubiq Networks, Inc.
-35-6F  :Neterix
-2E-FC  :DirectPacket Research, Inc,
-C0-6D  :SHENZHEN SPACETEK TECHNOLOGY CO.,LTD
-B7-92  :Hitachi Maxell, Ltd., Optronics Division
-91-BD  :Four systems Co.,Ltd.
-32-66  :Fike Corporation
-8E-89  :INDUSTRIAS UNIDAS SA DE CV
-05-B6  :Liling FullRiver Electronics & Technology Ltd
-2C-4A  :ASUSTek COMPUTER INC.
-54-7D  :Cisco SPVTG
-8F-33  :Microsoft Corporation
-A2-B1  :ruwido austria gmbh
-54-93  :Rigado, LLC
-B7-FD  :Guangzhou Younghead Electronic Technology Co.,Ltd
-4B-76  :AIRTAME ApS
-52-16  :DONGGUAN HELE ELECTRONICS CO., LTD
-02-9B  :CloudBerry Technologies Private Limited
-AF-25  :Nishiyama Industry Co.,LTD.
-7C-29  :Shenzhen Guzidi Technology Co.,Ltd
-1A-31  :Electronics Company Limited
-19-8F  :D-Link International
-C1-CB  :Fujian Great Power PLC Equipment Co.,Ltd
-6E-48  :Prophet Electronic Technology Corp.,Ltd
-F7-D7  :Thread Technology Co., Ltd
-08-FD  :Silca Spa
-25-87  :chaowifi.com
-12-D5  :Scientech Materials Corporation
-39-79  :Skyport Systems
-1D-7F  :zte corporation
-11-D3  :Suzhou HOTEK  Video Technology Co. Ltd
-42-25  :BURG-WÃCHTER KG
-48-40  :IMS Messsysteme GmbH
-28-53  :Zioncom Electronics (Shenzhen) Ltd.
-46-D8  :TP-LINK TECHNOLOGIES CO.,LTD.
-02-73  :Shenzhen Jin Yun Video Equipment Co., Ltd.
-FA-A2  :Alcatel-Lucent
-76-1C  :COMPAL INFORMATION (KUNSHAN) CO., LTD.
-28-33  :MMPC Inc.
-4F-1D  :iRule LLC
-9C-C5  :Beijing Huafei Technology Co., Ltd.
-50-65  :TAKT Corporation
-A4-D3  :Bluebank Communication Technology Co.Ltd
-F4-13  :Maxwell Forest
-F0-CA  :Shenzhen Linghangyuan Digital Technology Co.,Ltd.
-18-3A  :Ruckus Wireless
-B5-F1  :Aitexin Technology Co., Ltd
-29-50  :Dalian Netmoon Tech Develop Co.,Ltd
-CD-9B  :samtec automotive electronics & software GmbH
-FC-F6  :Shenzhen Xin KingBrand enterprises Co.,Ltd
-26-E7  :Welgate Co., Ltd.
-D6-0E  :shenzhen yunmao information technologies co., ltd
-6A-C3  :GatesAir, Inc
-CD-5A  :Technische Alternative GmbH
-48-26  :Newbridge Technologies Int. Ltd.
-D1-3F  :MEXUS CO.,LTD
-2C-1F  :Wisol
-BD-9D  :SkyDisk, Inc.
-C6-21  :Zhejiang Hite Renewable Energy Co.,LTD
-C3-06  :SIFROM Inc.
-A3-1B  :Shenzhen Linkworld Technology Co,.LTD
-E7-BF  :New Singularity International Technical Development Co.,Ltd
-EE-E8  :Ilshin Elecom
-64-1A  :Penguin Computing
-36-E3  :Stage One International Co., Ltd.
-DE-34  :zte corporation
-46-6F  :HiTEM Engineering
-39-C1  :Ciena Corporation
-2C-06  :OOO NPP Systemotechnika-NN
-EE-75  :Wistron InfoComm(Kunshan)Co.,Ltd.
-81-2B  :Custom Control Concepts
-66-01  :Suzhou Chi-tek information technology Co., Ltd
-4A-E9  :Castlenet Technology Inc.
-E4-2A  :Automatic Bar Controls Inc.
-A7-87  :Bointec Taiwan Corporation Limited
-AA-B3  :Ruckus Wireless
-81-EE  :Nokia Corporation
-C8-0F  :TP-LINK TECHNOLOGIES CO.,LTD.
-21-22  :Sercomm Corporation
-17-66  :Research Centre Module
-FF-62  :Huizhou Super Electron Technology Co.,Ltd.
-D1-2A  :AXPRO Technology Inc.
-C7-50  :MIC Technology Group
-29-38  :NietZsche enterprise Co.Ltd.
-81-CE  :AHN INC.
-D3-1A  :EQUES Technology Co., Limited
-3E-AA  :EnvyLogic Co.,Ltd.
-98-64  :Impex-Sat GmbH&amp;Co KG
-E5-78  :Experimental Factory of Scientific Engineering and Special Design Department
-9F-3F  :Optek Digital Technology company limited
-77-70  :Pep Digital Technology (Guangzhou) Co., Ltd
-11-C2  :Telegartner Karl Gartner GmbH
-51-BF  :Hyundai ESG
-7F-62  :Nokia Corporation
-17-66  :Weifang GoerTek Electronics Co., Ltd
-3F-F8  :R L Drake
-C5-54  :D-Link International
-D1-63  :MAX-TECH,INC
-12-18  :ShenZhen Rapoo Technology Co., Ltd.
-8A-72  :HTC Corporation
-86-C1  :Siemens Low Voltage & Products
-31-68  :eZEX corporation
-4A-73  :EUMTECH CO., LTD
-0F-10  :Huami Information Technology Co.,Ltd.
-33-6C  :Private
-6B-B4  :myIDkey
-E5-12  :tado GmbH
-91-8F  :Technicolor
-09-F6  :GUANGDONG TONZE ELECTRIC CO.,LTD
-78-48  :Westunitis Co., Ltd.
-B9-B3  :ESSYS
-B3-70  :PowerComm Solutions LLC
-65-95  :Toy's Myth Inc.
-DD-5F  :BALMUDA Inc.
-D9-62  :Canopus Systems US LLC
-C8-48  :mywerk system GmbH
-18-AE  :Trend Electronics Co., Ltd.
-97-F2  :Atomax Inc.
-F3-B7  :Kirisun Communications Co., Ltd.
-AD-9E  :GreenPriz
-82-7B  :AKG Acoustics GmbH
-8C-44  :H.K ZONGMU TECHNOLOGY CO., LTD.
-47-3D  :Hitron Technologies. Inc
-5E-0C  :Routerboard.com
-F8-DB  :shenzhen eyunmei technology co,.ltd
-42-14  :Swisscom Energy Solutions AG
-CD-A2  :ACTP, Inc.
-72-0F  :Viscount Systems Inc.
-67-17  :Alphion India Private Limited
-05-0F  :MTN Electronic Co. Ltd
-B6-B1  :SUNGSAM CO,.Ltd
-FF-6A  :OTEC(Shanghai)Technology Co.,Ltd.
-6B-AC  :Jenny Science AG
-7C-18  :ADATA Technology Co., Ltd
-4B-1C  :INTERSENSOR S.R.L.
-79-A2  :GMJ ELECTRIC LIMITED
-C8-6A  :SHENZHEN TW-SCIE Co., Ltd
-BA-E6  :Neets
-18-A0  :Luxshare Precision Industry Co.,Ltd.
-1A-04  :WaveIP
-20-6B  :Emerson Climate Technologies Transportation Solutions
-EE-75  :Pishion International Co. Ltd
-34-29  :TP-LINK TECHNOLOGIES CO.,LTD.
-74-96  :aFUN TECHNOLOGY INC.
-C8-E7  :Shenzhen Hualistone Technology Co.,Ltd
-F7-48  :Shenzhen Linsn Technology Development Co.,Ltd
-03-9E  :Beijing Winchannel Software Technology Co., Ltd
-A9-63  :COMPAL INFORMATION (KUNSHAN) CO., LTD.
-A2-B7  :Kodofon JSC
-3C-9C  :Pintsch Tiefenbach GmbH
-1C-E5  :Telefonbau Behnke GmbH
-2D-98  :ThinGlobal LLC
-72-E4  :Unikey Technologies
-1B-EB  :Actiontec Electronics, Inc
-74-98  :Filmetrics Inc.
-6A-B3  :IBC TECHNOLOGIES INC.
-32-1A  :Mita-Teknik A/S
-D7-B6  :Helmer Scientific
-6F-3D  :Contec GmbH
-3D-32  :Syscor Controls &amp; Automation
-31-CD  :Onyx Healthcare Inc.
-E4-53  :Sony Mobile Communications AB
-4A-18  :Addrek Smart Solutions
-C0-AE  :MIDORI ELECTRONIC CO., LTD.
-83-7A  :General Electric Water & Process Technologies
-97-58  :Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary
-24-E7  :Codetek Technology Co.,Ltd
-EE-30  :Budelmann Elektronik GmbH
-DB-BB  :Sunbow Telecom Co., Ltd.
-93-CA  :Voxtronic Technology Computer-Systeme GmbH
-8A-B5  :EDP Servicos
-7A-80  :Nokia Corporation
-61-30  :Advantage Pharmacy Services, LLC
-81-CA  :iDevices, LLC
-98-F7  :Gionee Communication Equipment Co,Ltd.ShenZhen
-F1-C4  :Pacidal Corporation Ltd.
-58-D7  :CZ.NIC, z.s.p.o.
-B7-13  :Private
-E7-70  :Warp9 Tech Design, Inc.
-CA-5E  :ELNO
-FF-D0  :Lenovo Mobile Communication Technology Ltd.
-A0-54  :Actineon
-EE-86  :UTStarcom (China) Co.,Ltd
-56-A8  :Jolla Ltd
-9D-0A  :LINKCOM
-FB-58  :WISEWARE, Lda
-A0-BB  :D-Link International
-A1-EB  :ETEK TECHNOLOGY (SHENZHEN) CO.,LTD
-CB-F5  :zte corporation
-F5-AE  :Adaptrum Inc.
-28-96  :SPECTO PAINEIS ELETRONICOS LTDA
-7B-21  :Sony Mobile Communications AB
-96-80  :Shenzhen Gongjin Electronics Co.,Ltd
-28-40  :Discovery Technology,LTD..
-9F-B8  :YAZAKI Energy System Corporation
-37-A1  :Huike Electronics (SHENZHEN) CO., LTD.
-D1-B0  :WING SING ELECTRONICS HONG KONG LIMITED
